m,t,n,k,ebno_db,ber,ber_uncoded,cwer,codewords,avg_enc_us,avg_dec_us
7,1,127,120,0,0.0931373,0.079902,1,102,1.19608,1.30392
7,1,127,120,1,0.0777548,0.0603994,1,121,1.77686,2.91736
7,1,127,120,2,0.0503501,0.0432073,1,119,2,2.41176
7,1,127,120,3,0.0327428,0.025853,0.905512,127,2.10236,2.05512
7,1,127,120,4,0.018316,0.0130642,0.625,192,1.72396,1.90625
7,1,127,120,5,0.00951233,0.006806,0.350482,311,1.61093,1.4373
7,1,127,120,6,0.00136019,0.00256112,0.053719,1936,1.06767,0.569731
7,1,127,120,7,0.000277778,0.000768519,0.0111111,9000,1.40611,0.289556
7,1,127,120,8,1.31109e-05,0.000194295,0.000526188,190046,1.09621,0.103049
7,1,127,120,9,9.81096e-07,3.24777e-05,4.05971e-05,2463231,1.09911,0.0643033
7,1,127,120,10,9.525e-09,3.98304e-06,3.81e-07,31496062,1.33686,0.180402
7,1,127,120,11,0,2.83104e-07,0,31496062,1.72888,0.55755
